organization,imei,plate_number,,,
Metro,7067,7067,,,
Metro,7027,7027,,,
Metro,7373,7373,,,
Metro,7204,7204,,,
Metro,5894,5894,,,
Metro,7270,7270,,,
Metro,5738,5738,,,
Metro,7024,7024,,,
Metro,7497,7497,,,
Metro,7442,7442,,,
Metro,7224,7224,,,
Metro,7450,7450,,,
Metro,5788,5788,,,
Metro,7389,7389,,,
Metro,7378,7378,,,
Metro,21883,21883,,,
Metro,21652,21652,,,
Metro,21975,21975,,,
Metro,25110,25110,,,
Metro,21619,21619,,,
Metro,17371,17371,,,
Metro,17390,17390,,,
Metro,17483,17483,,,
Metro,25167,25167,,,
Metro,17431,17431,,,
Metro,17355,17355,,,
Metro,17250,17250,,,
Metro,17262,17262,,,
Metro,21839,21839,,,
Metro,25193,25193,,,
Metro,21547,21547,,,
Metro,21699,21699,,,
Metro,21511,21511,,,
Metro,17073,17073,,,
Metro,21596,21596,,,
Metro,21779,21779,,,
Metro,21982,21982,,,
Metro,17117,17117,,,
Metro,21686,21686,,,
Metro,21807,21807,,,
Metro,21799,21799,,,
Metro,21701,21701,,,
Metro,17098,17098,,,
Metro,25050,25050,,,
Metro,17496,17496,,,
Metro,21867,21867,,,
Metro,17338,17338,,,
Metro,21890,21890,,,
Metro,17185,17185,,,
Metro,25115,25115,,,
Metro,25129,25129,,,
Metro,21659,21659,,,
Metro,21568,21568,,,
Metro,21765,21765,,,
Metro,21710,21710,,,
Metro,48261,48261,,,
Metro,48583,48583,,,
Metro,48586,48586,,,
Metro,48554,48554,,,
Metro,25333,25333,,,
Metro,48471,48471,,,
Metro,48290,48290,,,
Metro,25268,25268,,,
Metro,48574,48574,,,
Metro,25404,25404,,,
Metro,48341,48341,,,
Metro,48409,48409,,,
Metro,25252,25252,,,
Metro,25211,25211,,,
Metro,25458,25458,,,
Metro,48459,48459,,,
Metro,48101,48101,,,
Metro,48315,48315,,,
Metro,25351,25351,,,
Metro,48663,48663,,,
Metro,48639,48639,,,
Metro,25402,25402,,,
Metro,48337,48337,,,
Metro,25230,25230,,,
Metro,25450,25450,,,
Metro,48384,48384,,,
Metro,48666,48666,,,
Metro,25415,25415,,,
Metro,48486,48486,,,
Metro,48719,48719,,,
Metro,48675,48675,,,
Metro,66073,66073,,,
Metro,48765,48765,,,
Metro,49054,49054,,,
Metro,48494,48494,,,
Metro,66046,66046,,,
Metro,1232,1232,,,
Metro,66053,66053,,,
Metro,66070,66070,,,
Metro,49067,49067,,,
Metro,48810,48810,,,
Metro,48549,48549,,,
Metro,48688,48688,,,
Metro,48770,48770,,,
Metro,48500,48500,,,
Metro,66314,66314,,,
